ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
A,Agilent Technologies Inc.,stocks,us,XNYS,CS,True,usd,0001090872,BBG000C2V3D6,BBG001SCTQY4,2025-09-28T06:04:49.245445248Z
AA,Alcoa Corporation,stocks,us,XNYS,CS,True,usd,0001675149,BBG00B3T3HD3,BBG00B3T3HF1,2025-09-28T06:04:49.245445999Z
AAA,Alternative Access First Priority CLO Bond ETF,stocks,us,ARCX,ETF,True,usd,0001776878,BBG01B0JRCS6,BBG01B0JRCT5,2025-09-28T06:04:49.24544637Z
AAAA,Amplius Aggressive Asset Allocation ETF,stocks,us,BATS,ETF,True,usd,,BBG01W275XX6,BBG01W275ZB5,2025-09-28T06:04:49.24544651Z
AAAIF,ALTERNATIVE INVSTMENT TR,otc,us,OTC Link,FUND,True,USD,,,,2025-07-01T07:00:02.257Z
AAAU,Goldman Sachs Physical Gold ETF Shares,stocks,us,BATS,ETF,True,usd,0001708646,BBG00LPXX872,BBG00LPXX8Z1,2025-09-28T06:04:49.24544663Z
AABB,ASIA BROADBAND INC,otc,us,OTC Link,CS,True,USD,,BBG000CWNRN5,BBG001SGRBK5,2025-04-25T18:49:42.077Z
AABKF,AAREAL BANK AG,otc,us,OTC Link,OS,True,USD,,,,2025-01-27T07:38:00.354Z
AABVF,ABERDEEN INTL INC,otc,us,OTC Link,OS,True,USD,,BBG000BXKHJ4,BBG001S6XZ90,2025-07-01T06:57:33.389Z
AACAF,AAC TECHS HLDGS INC ORD,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T06:59:10.272Z
AACAY,AAC TECHS HLDGS UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG000VNTB62,BBG001T3PT80,2025-07-01T06:59:10.223Z
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002034334,,,2025-09-28T06:04:49.245446831Z
AACBR,Artius II Acquisition Inc. Rights,stocks,us,XNAS,RIGHT,True,usd,0002034334,,,2025-09-28T06:04:49.245446911Z
AACBU,Artius II Acquisition Inc. Units,stocks,us,XNAS,UNIT,True,usd,0002034334,,,2025-09-28T06:04:49.245447031Z
AACG,ATA Creativity Global American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001420529,BBG000V2S3P6,BBG001T125S9,2025-09-28T06:04:49.245447121Z
AACI,Armada Acquisition Corp. II Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002044009,,,2025-09-28T06:04:49.245447211Z
AACIU,Armada Acquisition Corp. II Units,stocks,us,XNAS,UNIT,True,usd,0002044009,,,2025-09-28T06:04:49.245447292Z
AACIW,Armada Acquisition Corp. II Warrant,stocks,us,XNAS,WARRANT,True,usd,0002044009,,,2025-09-28T06:04:49.245447382Z
AACS,AMER COMMERCE SOLTNS INC,otc,us,OTC Link,CS,True,USD,,BBG000JVQ2Q9,BBG001SBV1Z7,2024-05-03T08:45:10.673Z
AACTF,AURORA SOLAR TECHNOLOGIES,otc,us,OTC Link,OS,True,USD,,BBG005BTJ9X6,BBG001STZM33,2025-07-01T07:00:09.794Z
AADR,AdvisorShares Dorsey Wright ADR ETF,stocks,us,XNAS,ETF,True,usd,0001408970,BBG000BDYRW6,BBG001T9B1Y4,2025-09-28T06:04:49.245447462Z
AAFRF,AIRTEL AFRICA PLC,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T07:01:28.616Z
AAGAF,SILVER47 EXPL CORP,otc,us,OTC Link,OS,True,USD,,BBG01R9X0N42,BBG01QN78F53,2025-08-25T20:28:46.149Z
AAGC,ALL AMERICAN GOLD CORP,otc,us,OTC Link,CS,True,USD,,BBG000R4MM71,BBG001T948W9,2025-07-03T19:12:09.055Z
AAGFF,AFTERMATH SILVER LTD ORD,otc,us,OTC Link,OS,True,USD,,BBG001ZZWS68,BBG001V0ZJL9,2025-08-21T16:51:26.931Z
AAGH,AMERICA GREAT HEALTH,otc,us,OTC Link,CS,True,USD,,BBG003443HQ1,BBG003443JG8,2025-06-11T20:44:52.972Z
AAGIY,AIA GROUP LTD S/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG001R3QP52,BBG001V28NN4,2025-07-01T06:59:53.675Z
AAGR,AFRICAN AGRI HLDGS INC,otc,us,OTC Link,CS,True,USD,,BBG00ZKGK0R2,BBG00ZKGK109,2024-10-16T06:56:30.618Z
AAGRW,AFRICAN AGRI HLDGS WTS,otc,us,OTC Link,WARRANT,True,USD,,BBG00ZKXGR82,,2024-10-16T06:56:30.519Z
AAGRY,ASTRA AGRO LESTR UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG000KF9H79,BBG001T8KP46,2025-04-04T05:01:59.073Z
AAHIF,ASAHI CO LTD ORD,otc,us,OTC Link,OS,True,USD,,,,2025-08-11T18:21:53.741Z
AAIGF,AIA GROUP LTD ORD,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T06:59:53.618Z
AAIIQ,ALABAMA AIRCRAFT INDUS,otc,us,OTC Link,CS,True,USD,,BBG000HPGHW5,BBG001SD4Q88,2023-10-11T21:27:35.459Z
AAIRF,AMERICAN AIRES INC,otc,us,OTC Link,OS,True,USD,,BBG00RD2H0V8,BBG00L8QSZF3,2025-04-29T03:39:45.628Z
AAKAY,AAK AB UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG01L562BD2,BBG01L562C77,2025-04-04T05:01:59.255Z
AAL,American Airlines Group Inc.,stocks,us,XNAS,CS,True,usd,0000006201,BBG005P7Q881,BBG005P7Q907,2025-09-28T06:04:49.245447803Z
AALBF,AALBERTS INDUS NV ORD,otc,us,OTC Link,OS,True,USD,,,,2021-09-28T00:10:12.175Z
AALG,Leverage Shares 2X Long AAL Daily ETF,stocks,us,XNAS,ETF,True,usd,0001976322,BBG01VH49P35,BBG01VH49Q06,2025-09-28T06:04:49.245447883Z
AALNS,ARRIVED HOMES 4 ALLEN,otc,us,Grey Market,OTHER,True,USD,,BBG01W7CPFH5,BBG01W7CPGF5,2025-07-21T06:55:27.909Z
AAM,AA Mission Acquisition Corp.,stocks,us,XNYS,CS,True,usd,0002012964,,,2025-09-28T06:04:49.245448003Z
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,True,usd,0002012964,,,2025-09-28T06:04:49.245448083Z
AAM.WS,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",stocks,us,XNYS,WARRANT,True,usd,0002012964,,,2025-09-28T06:04:49.245448173Z
AAMAF,ATLAS MARA CO NVEST ORD,otc,us,OTC Link,OS,True,USD,,,,2021-12-10T07:30:30.598Z
AAMCF,ALTISOURCE ASSET MGMT,otc,us,OTC Link,CS,True,USD,,BBG003PNL136,BBG003PNL145,2025-01-15T07:38:08.202Z
AAME,Atlantic American Corp,stocks,us,XNAS,CS,True,usd,0000008177,BBG000B9XB24,BBG001S5N8T1,2025-09-28T06:04:49.245448253Z
AAMI,Acadian Asset Management Inc.,stocks,us,XNYS,CS,True,usd,0001748824,BBG00P2HLNY3,BBG00P2HLNZ2,2025-09-28T06:04:49.245448334Z
AAMMF,ALMADEX MINERALS LTD,otc,us,OTC Link,OS,True,USD,,BBG00L1LR0B3,BBG00K66WBV1,2025-07-01T07:00:41.34Z
AAMTF,ARMADA MERCANTILE LTD,otc,us,OTC Link,OS,True,USD,,BBG000K7V8F3,BBG001S6TJ73,2025-07-01T06:58:02.38Z
